100,,,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan�s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults � Medication Review,C10: Care for Older Adults � Functional Status Assessment,C11: Care for Older Adults � Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare � Eye Exam,C14: DiabetesCare � Kidney Disease Monitoring,C15: DiabetesCare � Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center � Foreign Language Interpreter and TTY Availability,D01: Call Center � Foreign Language Interpreter and TTY Availability,D02: Appeals Auto�Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Beneficiary Access and Performance Problems,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Medication Adherence for DiabetesMedications,D13: MedicatHypertension for Hypertension (RAS antagonists),D14: Medication Adherence for Cholesterol (Statins),D15: MTM Program Completion Rate for CMR
"UNITEDHEALTHCARE OF UTAH, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.67,0.76,0.79,0.7,0.8,0.52,0.98,0,0,0,0,0.6,0.72,0.9,0.78,0.74,0.84,0.57,0.08,0.85,0.75,0.84,0.85,0.83,0.87,0.14,0.06,1,0,1,0.95,0.96,0.98,0.5,0.88,0.14,0.06,1,0,0.8,0.91,0.98,0.06,0.75,0.78,0.75,0.47
REGENCE BLUECROSS BLUESHIELD OF UTAH,Regence BlueCross BlueShield of Utah,"Cambia Health Solutions, Inc.",0.72,0.76,0.8,0.68,0.8,0.56,0.9,0,0,0,0,0.26,0.78,0.92,0.68,0.74,0.87,0.54,0.08,0.87,0.79,0.91,0.87,0.87,0.85,0.03,0.05,0.6,0,1,0.83,0.94,0.95,12.6,0.74,0.03,0.05,0.6,0,0.84,0.92,0.99,0.09,0.79,0.81,0.8,0.45
"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.","America's 1st Choice Holdings of S.C., LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.96,0.99,0,0,0,0,1,0,0,0,0.99,0.18,0.69,0.76,0.73,0.51
PACIFICSOURCE COMMUNITY HEALTH PLANS,PacificSource Medicare,PacificSource Health Plans,0.7,0.49,0.67,0,0,0.53,0.83,0,0,0,0,0.32,0.66,0.85,0.67,0.64,0.83,0.46,0.09,0.86,0.79,0.92,0.87,0.84,0.86,0.13,0.07,0.8,0,0.95,0.95,0.67,0.64,-1,-1,0.13,0.07,0.8,0,0.81,0.92,0.98,0.05,0.77,0.83,0.8,0.38
CUATRO LLC,Access Medicare,Cuatro LLC.,0.68,0.43,0.61,0.72,0.68,0.57,0.75,0.41,0.24,0.14,0.31,0,0.55,0.95,0.43,0.37,0.31,0.62,0.12,0.83,0.73,0.83,0.84,0.83,0.83,0.49,0.35,0.4,0,0.69,0.69,0.07,0.05,0,0,0.49,0.35,0.4,0,0.83,0.88,0.98,0.04,0.72,0.71,0.59,0.16
PRIORITY HEALTH,Priority Health Medicare,Spectrum Health System,0.81,0.73,0.82,0.68,0.8,0.52,0.93,0,0,0,0,0.46,0.68,0.95,0.83,0.77,0.83,0.49,0.09,0.85,0.79,0.9,0.87,0.84,0.85,0.18,0.09,0.8,0,1,0.89,0.92,0.93,2,0,0.18,0.09,0.8,0,0.82,0.91,0.99,0.05,0.82,0.84,0.79,0.18
"CONSTELLATION HEALTH, LLC.",Constellation Health,"Constellation Health, LLC.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.82,0.8,0,0,0,0,1,0,0,0,0.99,0,0,0,0,0
"ANTHEM HEALTH PLANS OF VIRGINIA, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0.8,0.8,0.83,0,0,0.53,0.9,0,0,0,0,0.36,0.69,0.92,0.75,0.67,0.98,0.51,0.1,0.83,0.76,0.88,0.87,0.86,0.85,0.15,0,1,0,0,0,0.99,0.98,0,0,0.15,0,1,0,0.89,0.91,0.99,0.12,0.81,0.86,0.78,0.22
"AGEWELL NEW YORK, LLC",AgeWell New York,"AgeWell New York, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNIVERSITY CARE ADVANTAGE, INC.",University Care Advantage,Banner Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0.62,0.63,0.71,0.64,0.78,0.52,0.96,0.46,0.87,0.81,0.92,0.16,0.69,0.89,0.74,0.66,0.8,0.78,0.09,0.78,0.76,0.81,0.86,0.84,0.84,0.18,0.07,1,0,0,0,0.96,0.98,0,0,0.18,0.07,1,0,0.81,0.88,0.99,0.11,0.81,0.79,0.8,0.48
REGENCE BLUESHIELD,Regence BlueShield,"Cambia Health Solutions, Inc.",0.79,0.73,0.78,0.67,0.8,0.59,0.86,0,0,0,0,0.25,0.74,0.9,0.76,0.68,0.83,0.55,0.09,0.83,0.8,0.9,0.85,0.79,0.87,0.08,0.11,0.6,0,0.97,1,0.94,0.95,8.2,0.78,0.08,0.11,0.6,0,0.77,0.91,0.99,0.08,0.82,0.84,0.81,0.45
ASURIS NORTHWEST HEALTH,Asuris Northwest Health,"Cambia Health Solutions, Inc.",0.81,0.72,0.7,0.73,0.87,0.5,0.95,0,0,0,0,0,0.74,0.88,0.73,0.7,0,0.6,0.08,0.84,0.79,0.92,0.87,0.84,0.86,0.07,0.09,0.6,0,0,0,0.94,0.95,17.1,0,0.07,0.09,0.6,0,0.82,0.92,0.98,0.08,0.83,0.84,0.81,0
"CDPHP UNIVERSAL BENEFITS, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",0.82,0.76,0.81,0.71,0.85,0.54,0.99,0,0,0,0,0.22,0.8,0.92,0.88,0.8,0.8,0.55,0.13,0.86,0.79,0.9,0.87,0.87,0.87,0.05,0.05,1,0,0.96,0.77,0.95,0.91,0,0,0.05,0.05,1,0,0.86,0.9,0.99,0.05,0.83,0.88,0.82,0.23
GROUP HEALTH COOPERATIVE,Group Health Cooperative,Group Health Cooperative,0.86,0.79,0.85,0.64,0.81,0.56,0.96,0,0,0,0,0.38,0.88,0.95,0.84,0.82,0.89,0.58,0.07,0.83,0.81,0.88,0.87,0.86,0.86,0.06,0.02,0.6,0,0.92,0.92,0.82,0.77,1.6,0,0.06,0.02,0.6,0,0.87,0.93,0.99,0.07,0.84,0.87,0.85,0.32
EASY CHOICE HEALTH PLAN INC.,Easy Choice Health Plan,"WellCare Health Plans, Inc.",0.7,0.65,0.76,0.72,0.72,0.55,0.95,0.28,0.81,0.7,0.88,0.47,0.8,0.94,0.86,0.67,0.68,0.59,0.09,0.77,0.73,0.82,0.82,0.81,0.81,0.16,0.35,1,0,0.89,0.89,0.92,0.88,0.2,0,0.16,0.35,1,0,0.81,0.83,0.99,0.04,0.76,0.77,0.71,0.16
HIGHMARK SENIOR SOLUTIONS COMPANY,Highmark Senior Solutions Company,Highmark Health,0.68,0.7,0.75,0.66,0.81,0.44,0.97,0,0,0,0,0.17,0.6,0.89,0.77,0.76,0.79,0.55,0.1,0.86,0.75,0.92,0.86,0.84,0.86,0.12,0.06,0.8,0,1,0.79,0.95,0.91,1,0,0.12,0.06,0.8,0,0.84,0.92,0.98,0.12,0.78,0.81,0.75,0.28
CAREPOINT INSURANCE COMPANY,CLOVER HEALTH,IJKG Opco LLC,0,0.29,0.69,0,0,0.51,0.39,0,0,0,0,0,0.5,0.91,0.36,0.41,0.68,0.64,0.12,0,0.73,0.86,0.85,0.83,0,0.46,0.12,1,0,0,0,0.77,0.8,0,0,0.46,0.12,1,0,0.83,0,0.99,0.06,0.72,0.73,0.63,0.22
COMMUNITY HEALTH GROUP,Community Health Group,Community Health Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUNSHINE STATE HEALTH PLAN, INC.",Sunshine Health,Centene Corporation,0,0,0,0,0,0,0,0.68,0.67,0.65,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.9,0.92,0,0,0,0,0.8,0,0,0,0.99,0.08,0.75,0.74,0.65,0
"COMMUNITY CARE HEALTH PLAN, INC.",Community Care,"Community Care, Inc.",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.94,0.91,0,0,0,0,1,0,0,0,0.99,0.1,0.78,0.8,0.88,0.28
"CARE WISCONSIN HEALTH PLAN, INC.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",0.67,0.68,0.88,0.63,0.8,0.54,0.97,0.96,0.98,1,0.99,0,0.79,0.92,0.8,0.97,0,0.83,0,0.81,0.81,0.87,0.86,0.85,0.91,0.08,0.02,0.8,0,0,0,0.62,0.64,0,0,0.08,0.02,0.8,0,0.91,0.9,0.98,0.12,0.88,0.85,0.85,0.07
"SECURITY HEALTH PLAN OF WISCONSIN, INC.","Security Health Plan of Wisconsin, Inc.","Marshfield Clinic Health System, Inc.",0.83,0.77,0.72,0.7,0.77,0.49,0.98,0,0,0,0,0.24,0.85,0.94,0.89,0.84,0.84,0.54,0.08,0.89,0.83,0.91,0.87,0.86,0.88,0.03,0.05,1,0,1,0.83,0.84,0.9,0,0,0.03,0.05,1,0,0.82,0.94,0.99,0.1,0.88,0.88,0.85,0.21
NETWORK HEALTH INSURANCE CORPORATION,Network Health Medicare Advantage Plans,"Ministry Health Care, Inc.",0.79,0.75,0.77,0.66,0.81,0.53,0.93,0.59,0.91,0.83,0.91,0.43,0.72,0.92,0.8,0.77,0.87,0.57,0.09,0.87,0.84,0.94,0.88,0.89,0.89,0.03,0.02,0.6,0,0.95,0.79,0.93,0.97,3.2,0.71,0.03,0.02,0.6,0,0.88,0.94,0.98,0.08,0.88,0.88,0.84,0.12
HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0.74,0.7,0.72,0.71,0.84,0.51,0.99,0,0,0,0,0.25,0.64,0.95,0.84,0.82,0.83,0.54,0.09,0.86,0.8,0.82,0.87,0.83,0.87,0.16,0.11,0.6,0,0,0,0.96,0.98,0.7,0,0.16,0.11,0.6,0,0.84,0.89,0.98,0.05,0.83,0.85,0.81,0.27
"UNITEDHEALTHCARE OF WISCONSIN, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.78,0.74,0.78,0.74,0.79,0.5,0.98,0.59,0.94,0.89,0.97,0.53,0.74,0.93,0.86,0.77,0.86,0.56,0.1,0.87,0.84,0.86,0.87,0.84,0.89,0.11,0.12,1,0,0.99,0.96,0.97,0.98,0.6,0.76,0.11,0.12,1,0,0.82,0.91,0.99,0.05,0.82,0.85,0.81,0.46
MEDICAL ASSOCIATES CLINIC HEALTH PLAN,Medical Associates Clinic Health Plan of Wisconsin,"Medical Associates Clinic, P.C.",0.77,0.7,0.76,0.7,0.81,0.46,0.97,0,0,0,0,0,0.83,0.91,0.86,0.8,0,0.58,0,0.88,0.8,0.93,0.89,0.92,0.9,0,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUNDERSEN HEALTH PLAN,"Gundersen Health Plan, Inc.",Gundersen Lutheran Health System Inc.,0.87,0.81,0.79,0.7,0.79,0.53,0.98,0,0,0,0,0.34,0.86,0.95,0.91,0.86,0.91,0.54,0.07,0.88,0.84,0.92,0.91,0.92,0.92,0.02,0.02,0.8,0,0.99,0.85,0.9,0.89,1.9,0,0.02,0.02,0.8,0,0.88,0.95,0.98,0.11,0.86,0.89,0.87,0.25
"DEAN HEALTH PLAN, INC.","Dean Health Plan, Inc.",Dean Health Systems Inc.,0.79,0.77,0.8,0.7,0.84,0.48,0.99,0,0,0,0,0,0.8,0.94,0.91,0.91,0,0.62,0.08,0.87,0.84,0.92,0.89,0.93,0.88,0.03,0.02,1,0,0.89,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOLINA HEALTHCARE OF OHIO, INC.",Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUPERIOR HEALTH PLAN, INC.",Superior HealthPlan,Centene Corporation,0.7,0.52,0.73,0.63,0.76,0.48,0.93,0.49,0.79,0.65,0.86,0,0.7,0.94,0.58,0.55,0,0.78,0.1,0.76,0.71,0.84,0.83,0.83,0.81,0.34,0.22,1,0,0.93,0.93,0.9,0.92,7.5,0,0.34,0.22,1,0,0.84,0.85,0.99,0.12,0.73,0.69,0.65,0.34
"AETNA HEALTH, INC. (GEORGIA)",Coventry Health Care,Aetna Inc.,0.65,0.62,0.59,0.59,0.78,0.49,0.93,0,0,0,0,0,0.53,0.86,0.78,0.66,0,0.55,0.09,0.85,0.75,0.85,0.85,0.83,0.85,0.24,0.2,0.6,0,0,0,0.99,0.98,0,0,0.24,0.2,0.6,0,0.8,0.88,0.98,0.09,0.65,0.74,0.7,0.33
CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,"UnitedHealth Group, Inc.",0.83,0.69,0.75,0,0,0,0.93,0.97,0.94,0.98,0.98,0,0.63,0.94,0.65,0.39,0,0,0.06,0.84,0.81,0.85,0.85,0.77,0.86,0.78,0.15,1,0,0,0,0.97,0.98,0,0,0.78,0.15,1,0,0.8,0.9,0.99,0.07,0.83,0.82,0.79,0.27
IEHP HEALTH ACCESS,IEHP DualChoice,INLAND EMPIRE HEALTH PLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHARP HEALTH PLAN,North County Select,Sharp Healthcare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEALTHSPRING OF FLORIDA,"HealthSpring of Florida, Inc.",CIGNA,0.9,0.92,0.7,0.64,0.73,0.68,0.99,0.55,0.94,0.87,0.93,0.85,0.92,0.99,0.9,0.94,0.87,0.75,0.11,0.86,0.8,0.93,0.93,0.92,0.91,0.08,0.07,0.8,0,0.99,0.93,0.94,0.97,0.2,0,0.08,0.07,0.8,0,0.91,0.93,0.96,0.02,0.9,0.89,0.82,0.91
"AETNA HEALTH, INC. (FL)",Aetna Medicare,Aetna Inc.,0.78,0.74,0.62,0.72,0.79,0.54,0.98,0,0,0,0,0,0.68,0.9,0.83,0.82,0.78,0.54,0.11,0.82,0.73,0.84,0.83,0.83,0.85,0.23,0.11,0.4,0,0,0,0.99,0.98,1.5,0,0.23,0.11,0.4,0,0.79,0.87,0.99,0.12,0.78,0.8,0.75,0.39
"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.","Humana Health Insurance Company of Florida, Inc.",Humana Inc.,0.81,0.73,0.78,0.67,0.79,0.53,0.94,0,0,0,0,0.51,0.72,0.91,0.81,0.8,0.76,0.62,0.11,0.85,0.75,0.87,0.87,0.86,0.85,0.15,0.02,0.6,0,0,0,0.96,0.98,1.5,0,0.15,0.02,0.6,0,0.84,0,0.98,0.06,0.78,0.8,0.74,0.33
"MEDICA HEALTHCARE PLANS, INC.","Medica HealthCare Plans, Inc.","UnitedHealth Group, Inc.",0.84,0.73,0.49,0.58,0.74,0.59,0.97,0.64,0.86,0.86,0.89,0.33,0.74,0.94,0.9,0.59,0.62,0.72,0.1,0.84,0.74,0.91,0.91,0.9,0.85,0.15,0.11,1,0,1,0.8,0.96,0.98,0,0,0.15,0.11,1,0,0.89,0.89,0.98,0.06,0.78,0.81,0.65,0.58
BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,Blue Cross Blue Shield Healthcare Plan of Georgia,Anthem Inc.,0.69,0.58,0.65,0.65,0.8,0.51,0.87,0,0,0,0,0,0.54,0.87,0.7,0.52,0,0.56,0.08,0.83,0.7,0,0.84,0.8,0.86,0.31,0.1,1,0,0,0,0.99,0.98,12.5,0,0.31,0.1,1,0,0.79,0.89,0.99,0.06,0.7,0.76,0.72,0.08
SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,0.79,0.77,0.76,0.71,0.79,0.52,0.98,0.81,0.9,0.95,0.95,0.46,0.84,0.98,0.88,0.82,0.71,0.59,0.08,0.83,0.75,0.89,0.87,0.9,0.84,0.13,0.09,1,0,0.93,0.9,0.98,0.98,1.7,0.83,0.13,0.09,1,0,0.88,0.92,0.98,0.08,0.76,0.79,0.75,0.27
"FREEDOM HEALTH, INC.","Freedom Health, Inc.","America's 1st Choice Holdings of Florida, LLC",0.81,0.74,0.59,0.67,0.78,0.52,0.99,0.8,0.96,0.94,0.97,0.84,0.81,0.98,0.87,0.83,0.68,0.56,0.1,0.79,0.71,0.85,0.82,0.82,0.81,0.15,0.13,0.8,0,0.98,0.97,0.99,1,0,0,0.15,0.13,0.8,0,0.84,0.9,0.99,0.11,0.81,0.8,0.78,0.65
SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,Health Plan of San Mateo,0.69,0.59,0,0.69,0.76,0.66,0.7,0.31,0.35,0.09,0.3,0.23,0.71,0.86,0.62,0.6,0.68,0.74,0.09,0,0,0,0,0,0,0.04,0.03,1,0,0,0,0.9,0.84,17.2,0,0.04,0.03,1,0,0,0,0.99,0.14,0.82,0.82,0.79,0.11
ONECARE BY CARE1ST HEALTH PLAN ARIZONA INC.,Care1st+,Care1st Health Plan,0.65,0.54,0.55,0.71,0.81,0.55,0.92,0.39,0.81,0.55,0.72,0,0.73,0.93,0.68,0.66,0.77,0.66,0.09,0.81,0.75,0.85,0.83,0.83,0.83,0.2,0.28,1,0,0,0,0.7,0.71,5,0,0.2,0.28,1,0,0.8,0.87,0.99,0.04,0.73,0.71,0.66,0.29
"HEALTHSUN HEALTH PLANS, INC.","HealthSun Health Plans, Inc.","HealthSun Health Plans, Inc",0.82,0.67,0.48,0.74,0.69,0.6,0.98,0,0,0,0,0.43,0.87,0.95,0.84,0.82,0.89,0,0.07,0.88,0.77,0.91,0.9,0.88,0.87,0.14,0.2,1,0,0.99,0.91,0.94,0.96,0,0,0.14,0.2,1,0,0.87,0,0.98,0.01,0.82,0.83,0.69,0.13
ORANGE COUNTY HEALTH AUTHORITY,OneCare,Orange County Health Authority,0.7,0.67,0.76,0.7,0.77,0.59,0.95,-1,0.91,0.5,0.87,0.43,0.84,0.92,0.81,0.78,0.6,0.72,0.09,0.8,0.72,0.83,0.82,0.81,0.79,0.11,0.12,0,0,1,0.93,0.82,0.8,15.8,0.96,0.11,0.12,0,0,0.81,0.87,0.96,0.05,0.78,0.77,0.75,0.08
"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Florida Blue,Guidewell Mutual Holding Corporation,0.75,0.77,0.81,0.66,0.8,0.59,0.86,0,0,0,0,0.19,0.66,0.91,0.72,0.69,0.83,0.52,0.1,0.84,0.75,0.89,0.87,0.87,0.86,0.26,0.07,0.6,0,0.95,0.9,0.92,0.92,27.4,0.61,0.26,0.07,0.6,0,0.87,0.91,0.98,0.1,0.79,0.82,0.78,0.21
UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0.63,0.56,0.7,0.68,0.75,0.47,0.9,0,0,0,0,0.19,0.58,0.86,0.71,0.68,0.81,0.56,0.1,0.86,0.77,0.88,0.85,0.81,0.87,0.23,0.12,1,0,0.98,0.93,0.96,0.98,0.2,0.7,0.23,0.12,1,0,0.82,0.92,0.98,0.05,0.76,0.78,0.75,0.44
HEALTH NET LIFE INSURANCE COMPANY,Health Net Life Insurance Company,"Health Net, Inc.",0.65,0.56,0.71,0.7,0.83,0.5,0.9,0,0,0,0,0.19,0.62,0.91,0.8,0.74,0.69,0.57,0.1,0.8,0.74,0.8,0.82,0.79,0.83,0.72,0.05,0.8,0,0.94,1,0.96,0.96,2.4,0,0.72,0.05,0.8,0,0.79,0.87,0.99,0.05,0.75,0.79,0.77,0.15
"MANAGED HEALTH, INC.",Healthfirst Medicare Plan,"Healthfirst, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SIMPLY HEALTHCARE PLANS, INC.","Simply Healthcare Plans, Inc.",Anthem Inc.,0.84,0.7,0.48,0,0,0.58,0.98,0.78,0.93,0.94,0.94,0.35,0.82,0.98,0.86,0.82,0.88,0.65,0.11,0.83,0.76,0.87,0.9,0.88,0.87,0.28,0.26,0.6,0,0.99,0.88,0.32,0.28,0,0,0.28,0.26,0.6,0,0.88,0.88,0.99,0.05,0.76,0.77,0.67,0.58
"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Meridian Health Plan,"Caidan Enterprises, Inc.",0.76,0.68,0.59,0,0,0.45,0.98,0.72,0.89,0.69,0.84,0,0.75,0.93,0.7,0.76,0,0,0.12,0.81,0.75,0.88,0.83,0.84,0.82,0.82,0.16,0.8,0,0,0,0.93,0.99,5.5,0,0.82,0.16,0.8,0,0.83,0.88,0.99,0.09,0.69,0.67,0.66,0.34
"ADVANTAGE HEALTH SOLUTIONS, INC.","ADVANTAGE Health Solutions, Inc.",Advantage Health Solutions,0.68,0.52,0.72,0.61,0.77,0.47,0.81,0,0,0,0,0.18,0.61,0.87,0.55,0.56,0.83,0.47,0.1,0.85,0.8,0.9,0.89,0.84,0.87,0.15,0.07,0.8,0,1,0.57,0.68,0.79,0,0,0.15,0.07,0.8,0,0.82,0.9,0.97,0.07,0.77,0.82,0.77,0.12
HEALTH NET LIFE INSURANCE COMPANY,Health Net Life Insurance Company,"Health Net, Inc.",0.71,0.61,0.75,0.7,0.8,0.54,0.96,0,0,0,0,0.3,0.8,0.91,0.82,0.78,0.81,0.56,0.09,0.84,0.78,0.83,0.85,0.84,0.86,0.11,0.12,1,0,0.97,0.86,0.96,0.96,1.7,0.45,0.11,0.12,1,0,0.85,0.92,0.99,0.05,0.81,0.82,0.8,0.21
AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,0.78,0.73,0.83,0.69,0.81,0.5,0.92,0,0,0,0,0.46,0.78,0.9,0.8,0.83,0.83,0.57,0.09,0.83,0.77,0.89,0.88,0.87,0.88,0.05,0.01,0.4,0,0.88,0.91,0.99,0.98,0.9,0.96,0.05,0.01,0.4,0,0.87,0,0.99,0.1,0.83,0.85,0.81,0.43
"HEALTHASSURANCE PENNSYLVANIA, INC.",HealthAmerica,Aetna Inc.,0.73,0.71,0.77,0.65,0.81,0.43,0.95,0,0,0,0,0.44,0.78,0.92,0.86,0.87,0.83,0.58,0.08,0.84,0.78,0.88,0.87,0.83,0.87,0.11,0.11,0.6,0,0.97,0.86,0.99,0.98,0.9,1,0.11,0.11,0.6,0,0.83,0.92,0.98,0.07,0.81,0.82,0.79,0.26
"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,0.7,0.65,0.73,0.69,0.8,0.45,0.97,0,0,0,0,0.31,0.65,0.92,0.78,0.8,0.82,0.54,0.09,0.85,0.76,0.87,0.88,0.85,0.88,0.23,0.13,0.6,0,0,0,0.96,0.98,1,0,0.23,0.13,0.6,0,0.85,0.91,0.98,0.05,0.84,0.84,0.8,0.28
HEALTHNOW NEW YORK INC.,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HealthNow New York Inc.,0.81,0.79,0.8,0.69,0.83,0.53,0.97,0,0,0,0,0.14,0.84,0.94,0.83,0.85,0.8,0.57,0.1,0.85,0.78,0.9,0.87,0.87,0.84,0.03,0.01,1,0,1,0.93,0.92,0.95,3.4,0.54,0.03,0.01,1,0,0.86,0.92,0.99,0.09,0.86,0.86,0.82,0.11
GROUP HEALTH INCORPORATED,EmblemHealth Medicare PPO,"EmblemHealth, Inc.",0.65,0.61,0.71,0.74,0.81,0.54,0.7,0.56,0.73,0.54,0.64,0.48,0.68,0.9,0.63,0.58,0.86,0.58,0.15,0.8,0.72,0.82,0.83,0.81,0.84,0.35,0.04,1,0,0.96,0.91,0.92,0.95,0.4,0.7,0.35,0.04,1,0,0.82,0.88,0.98,0.07,0.75,0.79,0.71,0.55
"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0.69,0.67,0.73,0.76,0.79,0.45,0.92,0,0,0,0,0.35,0.58,0.9,0.79,0.73,0.83,0.51,0.11,0.87,0.75,0.83,0.85,0.78,0.87,0.14,0.1,1,0,0,0,0.99,0.98,13.5,0,0.14,0.1,1,0,0.79,0.9,0.99,0.09,0.74,0.79,0.75,0.25
"UPMC HEALTH NETWORK, INC.",UPMC Health Plan,UPMC Health System,0.73,0.66,0.79,0.68,0.79,0.45,0.97,0,0,0,0,0.3,0.75,0.92,0.82,0.79,0.84,0.5,0.09,0.87,0.8,0.91,0.88,0.84,0.88,0.17,0.26,0.6,0,0.96,0.96,0.94,0.98,0.9,0,0.17,0.26,0.6,0,0.84,0.93,0.98,0.06,0.8,0.84,0.79,0.02
VNS CHOICE,VNSNY CHOICE Medicare,Visiting Nurse Service of New York,0.72,0.58,0.7,0.72,0.78,0.59,0.9,-1,0.73,0.57,0.69,0.56,0.76,0.9,0.65,0.35,0.63,0.82,0.11,0.75,0.72,0.82,0.83,0.83,0.83,0.22,0.19,1,0,0.93,1,0.95,0.94,1.7,0,0.22,0.19,1,0,0.82,0.87,0.98,0.05,0.78,0.78,0.71,0.29
